,ruido,frec_obs,periodo,n_seg,n_meses,ok
1760,0.9,7,270,20,3,True
1761,0.9,7,270,20,6,False
1762,0.9,7,270,20,9,True
1763,0.9,7,270,20,12,True
1764,0.9,7,300,20,3,True
1765,0.9,7,300,20,6,True
1766,0.9,7,300,20,9,True
1767,0.9,7,300,20,12,True
1768,0.9,7,330,20,3,False
1769,0.9,7,330,20,6,True
1770,0.9,7,330,20,9,True
1771,0.9,7,330,20,12,True
1772,0.9,7,360,20,3,True
1773,0.9,7,360,20,6,True
1774,0.9,7,360,20,9,True
1775,0.9,7,360,20,12,True
1776,0.9,14,30,20,3,False
1777,0.9,14,30,20,6,False
1778,0.9,14,30,20,9,False
1779,0.9,14,30,20,12,False
1780,0.9,14,60,20,3,False
1781,0.9,14,60,20,6,True
1782,0.9,14,60,20,9,False
1783,0.9,14,60,20,12,True
1784,0.9,14,90,20,3,False
1785,0.9,14,90,20,6,True
1786,0.9,14,90,20,9,False
1787,0.9,14,90,20,12,True
1788,0.9,14,120,20,3,False
1789,0.9,14,120,20,6,False
1790,0.9,14,120,20,9,False
1791,0.9,14,120,20,12,True
1792,0.9,14,150,20,3,False
1793,0.9,14,150,20,6,False
1794,0.9,14,150,20,9,False
1795,0.9,14,150,20,12,True
1796,0.9,14,180,20,3,False
1797,0.9,14,180,20,6,True
1798,0.9,14,180,20,9,True
1799,0.9,14,180,20,12,True
1800,0.9,14,210,20,3,True
1801,0.9,14,210,20,6,True
1802,0.9,14,210,20,9,True
1803,0.9,14,210,20,12,True
1804,0.9,14,240,20,3,True
1805,0.9,14,240,20,6,True
1806,0.9,14,240,20,9,True
1807,0.9,14,240,20,12,True
1808,0.9,14,270,20,3,True
1809,0.9,14,270,20,6,False
1810,0.9,14,270,20,9,True
1811,0.9,14,270,20,12,True
1812,0.9,14,300,20,3,True
1813,0.9,14,300,20,6,True
1814,0.9,14,300,20,9,True
1815,0.9,14,300,20,12,True
1816,0.9,14,330,20,3,False
1817,0.9,14,330,20,6,True
1818,0.9,14,330,20,9,True
1819,0.9,14,330,20,12,True
1820,0.9,14,360,20,3,True
1821,0.9,14,360,20,6,True
1822,0.9,14,360,20,9,True
1823,0.9,14,360,20,12,True
1824,0.9,21,30,20,3,False
1825,0.9,21,30,20,6,True
1826,0.9,21,30,20,9,False
1827,0.9,21,30,20,12,False
1828,0.9,21,60,20,3,False
1829,0.9,21,60,20,6,False
1830,0.9,21,60,20,9,False
1831,0.9,21,60,20,12,False
1832,0.9,21,90,20,3,False
1833,0.9,21,90,20,6,False
1834,0.9,21,90,20,9,False
1835,0.9,21,90,20,12,False
1836,0.9,21,120,20,3,False
1837,0.9,21,120,20,6,False
1838,0.9,21,120,20,9,False
1839,0.9,21,120,20,12,False
1840,0.9,21,150,20,3,False
1841,0.9,21,150,20,6,True
1842,0.9,21,150,20,9,True
1843,0.9,21,150,20,12,True
1844,0.9,21,180,20,3,True
1845,0.9,21,180,20,6,False
1846,0.9,21,180,20,9,False
1847,0.9,21,180,20,12,True
1848,0.9,21,210,20,3,True
1849,0.9,21,210,20,6,False
1850,0.9,21,210,20,9,False
1851,0.9,21,210,20,12,True
1852,0.9,21,240,20,3,True
1853,0.9,21,240,20,6,False
1854,0.9,21,240,20,9,True
1855,0.9,21,240,20,12,True
1856,0.9,21,270,20,3,False
1857,0.9,21,270,20,6,False
1858,0.9,21,270,20,9,True
1859,0.9,21,270,20,12,False
1860,0.9,21,300,20,3,True
1861,0.9,21,300,20,6,False
1862,0.9,21,300,20,9,True
1863,0.9,21,300,20,12,True
1864,0.9,21,330,20,3,False
1865,0.9,21,330,20,6,True
1866,0.9,21,330,20,9,False
1867,0.9,21,330,20,12,True
1868,0.9,21,360,20,3,False
1869,0.9,21,360,20,6,True
1870,0.9,21,360,20,9,True
1871,0.9,21,360,20,12,True
1872,0.9,28,30,20,3,False
1873,0.9,28,30,20,6,False
1874,0.9,28,30,20,9,False
1875,0.9,28,30,20,12,False
1876,0.9,28,60,20,3,False
1877,0.9,28,60,20,6,False
1878,0.9,28,60,20,9,False
1879,0.9,28,60,20,12,False
1880,0.9,28,90,20,3,True
1881,0.9,28,90,20,6,True
1882,0.9,28,90,20,9,False
1883,0.9,28,90,20,12,False
1884,0.9,28,120,20,3,False
1885,0.9,28,120,20,6,False
1886,0.9,28,120,20,9,True
1887,0.9,28,120,20,12,False
1888,0.9,28,150,20,3,False
1889,0.9,28,150,20,6,False
1890,0.9,28,150,20,9,False
1891,0.9,28,150,20,12,True
1892,0.9,28,180,20,3,False
1893,0.9,28,180,20,6,False
1894,0.9,28,180,20,9,False
1895,0.9,28,180,20,12,True
1896,0.9,28,210,20,3,False
1897,0.9,28,210,20,6,False
1898,0.9,28,210,20,9,True
1899,0.9,28,210,20,12,False
1900,0.9,28,240,20,3,False
1901,0.9,28,240,20,6,False
1902,0.9,28,240,20,9,True
1903,0.9,28,240,20,12,True
1904,0.9,28,270,20,3,True
1905,0.9,28,270,20,6,False
1906,0.9,28,270,20,9,False
1907,0.9,28,270,20,12,True
1908,0.9,28,300,20,3,False
1909,0.9,28,300,20,6,False
1910,0.9,28,300,20,9,False
1911,0.9,28,300,20,12,True
1912,0.9,28,330,20,3,True
1913,0.9,28,330,20,6,True
1914,0.9,28,330,20,9,True
1915,0.9,28,330,20,12,True
1916,0.9,28,360,20,3,False
1917,0.9,28,360,20,6,True
1918,0.9,28,360,20,9,True
1919,0.9,28,360,20,12,True
1920,1.0,7,30,20,3,False
1921,1.0,7,30,20,6,False
1922,1.0,7,30,20,9,False
1923,1.0,7,30,20,12,False
1924,1.0,7,60,20,3,False
1925,1.0,7,60,20,6,False
1926,1.0,7,60,20,9,False
1927,1.0,7,60,20,12,True
1928,1.0,7,90,20,3,True
1929,1.0,7,90,20,6,True
1930,1.0,7,90,20,9,True
1931,1.0,7,90,20,12,True
1932,1.0,7,120,20,3,False
1933,1.0,7,120,20,6,True
1934,1.0,7,120,20,9,False
1935,1.0,7,120,20,12,True
1936,1.0,7,150,20,3,True
1937,1.0,7,150,20,6,True
1938,1.0,7,150,20,9,True
1939,1.0,7,150,20,12,True
1940,1.0,7,180,20,3,False
1941,1.0,7,180,20,6,True
1942,1.0,7,180,20,9,True
1943,1.0,7,180,20,12,True
1944,1.0,7,210,20,3,False
1945,1.0,7,210,20,6,True
1946,1.0,7,210,20,9,True
1947,1.0,7,210,20,12,True
1948,1.0,7,240,20,3,True
1949,1.0,7,240,20,6,True
1950,1.0,7,240,20,9,True
1951,1.0,7,240,20,12,True
1952,1.0,7,270,20,3,True
1953,1.0,7,270,20,6,True
1954,1.0,7,270,20,9,True
1955,1.0,7,270,20,12,True
1956,1.0,7,300,20,3,True
1957,1.0,7,300,20,6,True
1958,1.0,7,300,20,9,False
1959,1.0,7,300,20,12,True
1960,1.0,7,330,20,3,True
1961,1.0,7,330,20,6,True
1962,1.0,7,330,20,9,True
1963,1.0,7,330,20,12,True
1964,1.0,7,360,20,3,True
1965,1.0,7,360,20,6,True
1966,1.0,7,360,20,9,False
1967,1.0,7,360,20,12,True
1968,1.0,14,30,20,3,False
1969,1.0,14,30,20,6,False
1970,1.0,14,30,20,9,False
1971,1.0,14,30,20,12,False
1972,1.0,14,60,20,3,False
1973,1.0,14,60,20,6,False
1974,1.0,14,60,20,9,False
1975,1.0,14,60,20,12,False
1976,1.0,14,90,20,3,True
1977,1.0,14,90,20,6,True
1978,1.0,14,90,20,9,True
1979,1.0,14,90,20,12,True
1980,1.0,14,120,20,3,False
1981,1.0,14,120,20,6,True
1982,1.0,14,120,20,9,False
1983,1.0,14,120,20,12,True
1984,1.0,14,150,20,3,False
1985,1.0,14,150,20,6,True
1986,1.0,14,150,20,9,True
1987,1.0,14,150,20,12,True
1988,1.0,14,180,20,3,False
1989,1.0,14,180,20,6,True
1990,1.0,14,180,20,9,False
1991,1.0,14,180,20,12,True
1992,1.0,14,210,20,3,True
1993,1.0,14,210,20,6,False
1994,1.0,14,210,20,9,True
1995,1.0,14,210,20,12,True
1996,1.0,14,240,20,3,False
1997,1.0,14,240,20,6,True
1998,1.0,14,240,20,9,True
1999,1.0,14,240,20,12,True
2000,1.0,14,270,20,3,True
2001,1.0,14,270,20,6,True
2002,1.0,14,270,20,9,True
2003,1.0,14,270,20,12,True
2004,1.0,14,300,20,3,True
2005,1.0,14,300,20,6,True
2006,1.0,14,300,20,9,True
2007,1.0,14,300,20,12,True
2008,1.0,14,330,20,3,True
2009,1.0,14,330,20,6,True
2010,1.0,14,330,20,9,True
2011,1.0,14,330,20,12,True
2012,1.0,14,360,20,3,True
2013,1.0,14,360,20,6,True
2014,1.0,14,360,20,9,True
2015,1.0,14,360,20,12,True
2016,1.0,21,30,20,3,False
2017,1.0,21,30,20,6,False
2018,1.0,21,30,20,9,False
2019,1.0,21,30,20,12,False
2020,1.0,21,60,20,3,False
2021,1.0,21,60,20,6,False
2022,1.0,21,60,20,9,True
2023,1.0,21,60,20,12,True
2024,1.0,21,90,20,3,False
2025,1.0,21,90,20,6,True
2026,1.0,21,90,20,9,False
2027,1.0,21,90,20,12,False
2028,1.0,21,120,20,3,True
2029,1.0,21,120,20,6,False
2030,1.0,21,120,20,9,False
2031,1.0,21,120,20,12,True
2032,1.0,21,150,20,3,True
2033,1.0,21,150,20,6,True
2034,1.0,21,150,20,9,True
2035,1.0,21,150,20,12,True
2036,1.0,21,180,20,3,False
2037,1.0,21,180,20,6,False
2038,1.0,21,180,20,9,True
2039,1.0,21,180,20,12,True
2040,1.0,21,210,20,3,True
2041,1.0,21,210,20,6,False
2042,1.0,21,210,20,9,True
2043,1.0,21,210,20,12,True
2044,1.0,21,240,20,3,False
2045,1.0,21,240,20,6,True
2046,1.0,21,240,20,9,True
2047,1.0,21,240,20,12,True
2048,1.0,21,270,20,3,True
2049,1.0,21,270,20,6,False
2050,1.0,21,270,20,9,False
2051,1.0,21,270,20,12,True
2052,1.0,21,300,20,3,False
2053,1.0,21,300,20,6,True
2054,1.0,21,300,20,9,True
2055,1.0,21,300,20,12,True
2056,1.0,21,330,20,3,True
2057,1.0,21,330,20,6,True
